,ForceType,Sex,Race,TypeOfResistance,Neighborhood,Problem,PrimaryOffense
36773,Chemical Irritant,Male,White,Tensed,Ventura Village,Unwanted Person ,FORCE
36774,Bodily Force,Male,Black,Commission of Crime,Webber - Camden,Person with a Gun ,THREAT
36775,Bodily Force,Male,Native American,Verbal Non-Compliance,Midtown Phillips,Theft ,THEFT
36776,Bodily Force,Male,Black,Fled on Foot,McKinley,Suspicious Person ,NARC
36777,Bodily Force,Male,White,Unspecified,Lowry Hill,Burglary Dwlng In Progress ,BURGD
36778,Taser,Male,White,Commission of Crime,Downtown West,Fight ,DISCON
36779,Bodily Force,Male,White,Fled on Foot,CARAG,Burglary Dwlng In Progress ,BURGD
36780,Bodily Force,Male,Black,Verbal Non-Compliance,Downtown West,Code 3 ,NARC
36781,Bodily Force,Male,Black,Verbal Non-Compliance,Cleveland,Disturbance ,HANDGN
36782,Bodily Force,Male,White,Tensed,East Harriet,Unwanted Person ,OBSTRU
36783,Bodily Force,Male,Black,Fled on Foot,Steven's Square - Loring Heights,Chase on Foot ,VCONR
36784,Bodily Force,Male,Black,Fled on Foot,Folwell,Narcotics ,NARC
36785,Bodily Force,Female,Black,Assaulted Officer,Willard - Hay,Unknown Trouble ,ASLT4
36786,Bodily Force,Male,Black,Verbal Non-Compliance,Downtown West,Traffic Law Enforcement ,OBSTRU
36787,Bodily Force,Female,Black,Assaulted Officer,Jordan,Person with a Weapon ,ASLT4
36788,Bodily Force,Male,Black,Tensed,Cedar Riverside,Unwanted Person ,TRSPAS
36789,Bodily Force,Male,White,Tensed,Como,Loud Party ,OBSTRU
36790,Bodily Force,Male,Black,Assaulted Officer,McKinley,Suspicious Person ,TRSPAS
36791,Taser,Male,Black,Unspecified,Webber - Camden,Shooting ,ASLT2
36792,Bodily Force,Male,Black,Verbal Non-Compliance,Lind - Bohanon,Disturbance ,ASLT2
36793,Taser,Male,Other / Mixed Race,Fled on Foot,CARAG,Assault in Progress ,AOA
36794,Bodily Force,Male,Black,Tensed,Downtown West,Assault in Progress ,ASLT5
36795,Bodily Force,Male,Black,Fled on Foot,Harrison,Fight ,DASTR
36796,Chemical Irritant,Male,White,Commission of Crime,Downtown West,Miscellaneous ,FORCE
36797,Chemical Irritant,Female,Black,Commission of Crime,Central,Fight ,FORCE
36798,Bodily Force,Male,Black,Assaulted Officer,Jordan,Motor Vehicle Chase ,FLEE
36799,Bodily Force,Male,Black,Tensed,Jordan,Motor Vehicle Chase ,FLEE
36800,Bodily Force,Male,White,Fled on Foot,Downtown West,Suspicious Person ,POSDPA
36801,Bodily Force,Male,Black,Verbal Non-Compliance,Cleveland,Domestic Abuse-In Progress ,DASLT5
36802,Bodily Force,Male,Black,Fled on Foot,Prospect Park - East River Road,Domestic ,DASLT5
36803,Bodily Force,Male,Black,Unspecified,Hawthorne,High Risk Warrant Entry ,NARC
36805,Improvised Weapon,Male,Black,Fled on Foot,Near - North,Chase on Foot ,OBSTRU
36806,Chemical Irritant,Male,White,Verbal Non-Compliance,Ventura Village,Traffic Law Enforcement ,OBSTRU
36807,Taser,Unknown,Unknown,Unspecified,North Loop,Disturbance ,DISCON
36808,Bodily Force,Male,Black,Verbal Non-Compliance,Hawthorne,ShotSpotter Activation ,NARC
36809,Bodily Force,Male,White,Commission of Crime,Longfellow,Disturbance ,OBSTRU
36810,Bodily Force,Male,Black,Unspecified,Lind - Bohanon,Domestic Abuse-In Progress ,DASLT5
36811,Bodily Force,Male,Black,Tensed,Longfellow,Assist an Officer ,DISCON
36812,Bodily Force,Male,Black,Commission of Crime,Downtown West,Fight ,ASLT2
36813,Improvised Weapon,Male,Black,Verbal Non-Compliance,Hawthorne,Emotionally Disturb Person ,OBSTRU
36814,Bodily Force,Male,White,Tensed,Sheridan,Burglary Dwlng In Progress ,DAMPRP
36815,Bodily Force,Male,Black,Assaulted Officer,Hawthorne,Officer Needs Help ,ASLT4
36816,Bodily Force,Male,White,Commission of Crime,Downtown West,Suspicious Person ,DISCON
36817,Bodily Force,Male,Black,Verbal Non-Compliance,Ventura Village,Domestic Abuse-In Progress ,DASTR
36818,Bodily Force,Male,Black,Tensed,Webber - Camden,Fight ,OBSTRU
36819,Chemical Irritant,Male,Black,Tensed,Downtown West,Disturbance ,DISCON
36820,Bodily Force,Male,White,Fled on Foot,Hawthorne,Officer Needs Help ,BURGD
36821,Bodily Force,Female,Black,Unspecified,Downtown West,On Site ,DAMPRP
36822,Bodily Force,Male,Other / Mixed Race,Verbal Non-Compliance,Midtown Phillips,High Risk Warrant Entry ,NARC
36823,Bodily Force,Male,Black,Assaulted Officer,Bancroft,Unwanted Person ,ASLT4
36824,Chemical Irritant,Unknown,Unknown,Verbal Non-Compliance,Downtown West,Disturbance ,OBSTRU
36825,Bodily Force,Male,White,Unspecified,Hawthorne,Burglary Dwlng In Progress ,OBSTRU
36826,Taser,Male,Black,Commission of Crime,Jordan,Unknown Trouble ,NARC
36827,Bodily Force,Male,Black,Commission of Crime,Folwell,Suspicious Person ,OBSTRU
36828,Bodily Force,Male,Other / Mixed Race,Tensed,Ventura Village,Domestic Abuse-In Progress ,DASLT5
