,ForceType,Sex,Race,TypeOfResistance,Problem_Group,CenterLongitude,CenterLatitude
5245,Bodily Force,Female,Native American,tensed,Domestic,-93.261975,44.943173
5246,Bodily Force,Male,Black,other/unspecified,Property & Vehicle,-93.252441,45.014068
5247,Bodily Force,Male,Black,fled,Property & Vehicle,-93.303194,44.984623
5248,Chemical Irritant,Male,White,verbal non-compliance,Suspicious & Disorder,-93.27196,44.980833
5249,Chemical Irritant,Male,Black,commission of crime,Welfare & Emergency,-93.274296,44.980781
5250,Bodily Force,Male,Black,verbal non-compliance,Welfare & Emergency,-93.299425,44.994678
5251,Chemical Irritant,Female,Black,verbal non-compliance,Violent,-93.273109,44.979187
5252,Bodily Force,Male,Native American,tensed,Suspicious & Disorder,-93.270476,44.976803
5253,Chemical Irritant,Male,other,commission of crime,Suspicious & Disorder,-93.274284,44.979986
5254,Bodily Force,Male,Native American,assaulting police officer or animal,Suspicious & Disorder,-93.233184,44.947791
5255,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.227745,44.943167
5256,Bodily Force,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.306103,45.04393
5257,Chemical Irritant,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.268325,44.943184
5258,Bodily Force,Male,White,verbal non-compliance,Violent,-93.272499,44.979626
5259,Bodily Force,Male,White,assaulting police officer or animal,Suspicious & Disorder,-93.273141,44.980808
5260,Bodily Force,Male,Black,fled,Violent,-93.248634,44.954643
5261,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.276326,44.978794
5262,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.294107,44.999703
5263,Bodily Force,Female,Native American,tensed,Suspicious & Disorder,-93.244098,44.962517
5264,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.261097,44.961364
5265,Bodily Force,Male,Black,commission of crime,Domestic,-93.239479,44.948369
5266,Chemical Irritant,Male,Black,tensed,Domestic,-93.239479,44.948369
5267,Bodily Force,Male,Native American,fled,Violent,-93.290104,45.036079
5268,Less Lethal Weapons,Male,Black,commission of crime,Suspicious & Disorder,-93.281842,44.999111
5269,Bodily Force,Male,Black,assaulting police officer or animal,Suspicious & Disorder,-93.265161,44.943957
5270,Bodily Force,Male,Black,fled,Violent,-93.236855,44.94837
5271,Bodily Force,Female,Black,assaulting police officer or animal,Domestic,-93.280837,44.969328
5272,Bodily Force,Male,White,fled,Violent,-93.235841,44.989875
5273,Bodily Force,Male,Black,tensed,Violent,-93.310528,45.044854
5274,Bodily Force,Male,Black,tensed,Violent,-93.310528,45.044854
5275,Bodily Force,Male,Black,fled,Violent,-93.292435,45.01493
5276,Chemical Irritant,Female,Black,other/unspecified,Welfare & Emergency,-93.273116,44.981648
5277,Bodily Force,Male,Black,commission of crime,Violent,-93.287632,45.046619
5278,Less Lethal Weapons,Male,Native American,fled,Violent,-93.257534,44.954632
5279,Bodily Force,Male,Black,other/unspecified,Welfare & Emergency,-93.289521,45.000862
5280,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.286451,45.003132
5281,Bodily Force,Male,other,fled,Property & Vehicle,-93.303817,45.018628
5282,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.268239,44.937771
5283,Bodily Force,Male,Black,assaulting police officer or animal,Suspicious & Disorder,-93.264582,44.948354
5284,Bodily Force,Male,Native American,fled,Suspicious & Disorder,-93.247313,45.031227
5285,Bodily Force,Female,White,tensed,Property & Vehicle,-93.300389,44.914149
5286,Bodily Force,Male,Black,tensed,Property & Vehicle,-93.291022,44.984183
5287,Chemical Irritant,Male,Black,commission of crime,Violent,-93.273116,44.981648
5288,Chemical Irritant,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.257788,44.960919
5289,Bodily Force,Male,White,fled,Suspicious & Disorder,-93.27196,44.980833
5290,Chemical Irritant,Female,Native American,commission of crime,Suspicious & Disorder,-93.273116,44.981648
5291,Bodily Force,Male,Black,fled,Property & Vehicle,-93.271797,44.977367
5292,Bodily Force,Male,other,fled,Suspicious & Disorder,-93.251222,44.949215
5293,Bodily Force,Male,Native American,tensed,Property & Vehicle,-93.289295,45.019414
5294,Less Lethal Weapons,Male,Black,commission of crime,Domestic,-93.30258,44.991498
5295,Bodily Force,Female,Black,commission of crime,Violent,-93.283599,45.047891
5296,Bodily Force,Male,White,assaulting police officer or animal,Suspicious & Disorder,-93.311825,44.922741
5297,Bodily Force,Male,Native American,verbal non-compliance,Suspicious & Disorder,-93.242322,44.94795
5298,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.222832,44.969758
5299,Chemical Irritant,Male,Black,fled,Suspicious & Disorder,-93.273422,44.975433
5300,Bodily Force,Male,Native American,fled,Domestic,-93.24732,44.926032
5301,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.299373,45.019495
5302,Bodily Force,Male,White,commission of crime,Suspicious & Disorder,-93.254329,44.93955
5303,Bodily Force,Female,Black,commission of crime,Property & Vehicle,-93.283675,44.984322
5304,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.283021,44.947475
5305,Bodily Force,Male,Black,tensed,Violent,-93.249134,45.010377
5306,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.228692,44.973099
5307,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.249122,45.015871
5308,Bodily Force,Male,White,fled,Suspicious & Disorder,-93.271065,44.978339
5309,Bodily Force,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.244809,44.998261
5310,Bodily Force,Male,Black,assaulting police officer or animal,Welfare & Emergency,-93.270211,44.963321
5311,Bodily Force,Male,White,verbal non-compliance,Welfare & Emergency,-93.265099,44.968926
5312,Bodily Force,Male,Black,fled,Property & Vehicle,-93.267032,44.955529
5313,Less Lethal Weapons,Male,Black,commission of crime,Property & Vehicle,-93.296218,45.011341
5314,Bodily Force,Female,Black,other/unspecified,Suspicious & Disorder,-93.291156,45.009525
5315,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.281529,44.978929
5316,Bodily Force,Male,Black,tensed,Welfare & Emergency,-93.315263,44.991541
5317,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.275347,44.977582
5318,Bodily Force,Male,Black,fled,Violent,-93.308221,44.993737
5319,Bodily Force,Female,Native American,tensed,Suspicious & Disorder,-93.26311,45.00927
5320,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.272499,44.979626
5321,Bodily Force,Male,White,commission of crime,Suspicious & Disorder,-93.235033,44.987843
5322,Bodily Force,Male,White,verbal non-compliance,Violent,-93.287418,44.953739
5323,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.278197,44.976944
5324,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.24858,44.917074
5325,Bodily Force,Male,Black,commission of crime,Violent,-93.287632,45.046619
5326,Bodily Force,Male,Black,verbal non-compliance,Welfare & Emergency,-93.289521,45.000862
5327,Chemical Irritant,Female,Black,commission of crime,Suspicious & Disorder,-93.219308,44.972609
5328,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.270774,44.98331
5329,Bodily Force,Male,Black,commission of crime,Domestic,-93.234035,44.93954
5330,Less Lethal Weapons,Male,Native American,commission of crime,Suspicious & Disorder,-93.28008,44.969863
5331,Bodily Force,Male,Black,commission of crime,Domestic,-93.268978,44.958261
5332,Bodily Force,Male,White,other/unspecified,Suspicious & Disorder,-93.272499,44.979626
5333,Bodily Force,Male,White,tensed,Welfare & Emergency,-93.253739,45.005559
5334,Bodily Force,Male,Black,other/unspecified,Violent,-93.293645,45.034539
5335,Bodily Force,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.286473,45.00086
5336,Bodily Force,Male,Black,fled,Property & Vehicle,-93.303221,44.98879
5337,Bodily Force,Male,White,fled,Suspicious & Disorder,-93.225678,44.969035
5338,Bodily Force,Male,White,tensed,Domestic,-93.249888,44.997697
5339,Chemical Irritant,Male,Black,commission of crime,Violent,-93.271883,44.980065
5340,Bodily Force,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.300021,45.007783
5341,Bodily Force,Male,White,tensed,Violent,-93.277601,44.988167
5342,Bodily Force,Male,White,other/unspecified,Suspicious & Disorder,-93.271963,44.981655
5343,Bodily Force,Female,Native American,tensed,Domestic,-93.255126,44.962727
5344,Bodily Force,Male,Black,verbal non-compliance,Domestic,-93.300468,45.050246
5345,Chemical Irritant,Male,White,verbal non-compliance,Suspicious & Disorder,-93.236412,44.986567
5346,Bodily Force,Male,Black,commission of crime,Property & Vehicle,-93.309517,45.01357
5347,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.283021,44.947475
5348,Less Lethal Weapons,Male,White,fled,Property & Vehicle,-93.235388,44.980982
5349,Bodily Force,Female,Black,commission of crime,Suspicious & Disorder,-93.275347,44.977582
5350,Bodily Force,Male,White,commission of crime,Domestic,-93.266112,44.974295
5351,Chemical Irritant,Male,White,commission of crime,Suspicious & Disorder,-93.271927,44.98329
5352,Bodily Force,Male,other,tensed,Domestic,-93.227729,44.950179
5353,Bodily Force,Male,Black,fled,Property & Vehicle,-93.303194,44.984623
5354,Bodily Force,Male,Black,fled,Violent,-93.271954,44.982469
5355,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.273109,44.979187
5356,Bodily Force,Male,White,tensed,Welfare & Emergency,-93.233184,44.947791
5357,Chemical Irritant,Female,Black,verbal non-compliance,Violent,-93.307632,45.020457
5358,Chemical Irritant,Female,White,verbal non-compliance,Domestic,-93.306993,45.019551
5359,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.300071,44.991498
5360,Less Lethal Weapons,Male,Black,verbal non-compliance,Violent,-93.281566,44.995809
5361,Bodily Force,Male,Black,tensed,Violent,-93.239687,44.992389
5362,Chemical Irritant,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.268325,44.943184
5363,Bodily Force,Male,Black,tensed,Welfare & Emergency,-93.265856,44.948352
5364,Bodily Force,Male,Black,commission of crime,Violent,-93.299373,45.019495
5365,Bodily Force,Male,White,assaulting police officer or animal,Violent,-93.234742,44.949264
5366,Bodily Force,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.287989,44.999685
5367,Bodily Force,Male,Black,assaulting police officer or animal,Violent,-93.263123,44.93415
5368,Bodily Force,Male,Black,other/unspecified,Suspicious & Disorder,-93.271883,44.980065
5369,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.261097,44.961364
5370,Bodily Force,Male,White,tensed,Domestic,-93.25625,44.995982
5371,Less Lethal Weapons,Male,White,fled,Property & Vehicle,-93.248022,44.951957
5372,Bodily Force,Male,Black,fled,Violent,-93.240922,44.961849
5373,Chemical Irritant,Male,White,tensed,Suspicious & Disorder,-93.272499,44.979626
5374,Chemical Irritant,Female,Black,verbal non-compliance,Suspicious & Disorder,-93.297506,45.024
5375,Bodily Force,Male,Black,assaulting police officer or animal,Suspicious & Disorder,-93.265161,44.943957
5376,Bodily Force,Male,other,assaulting police officer or animal,Domestic,-93.276619,44.935027
5377,Bodily Force,Female,Native American,tensed,Suspicious & Disorder,-93.26311,45.00927
5378,Bodily Force,Male,Black,verbal non-compliance,Property & Vehicle,-93.31546,45.037339
5379,Less Lethal Weapons,Male,Black,tensed,Violent,-93.310528,45.044854
5380,Less Lethal Weapons,Male,White,fled,Property & Vehicle,-93.256903,45.000899
5381,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.272499,44.979626
5382,Bodily Force,Male,Black,commission of crime,Violent,-93.287632,45.046619
5383,Less Lethal Weapons,Male,Black,tensed,Suspicious & Disorder,-93.254077,44.976508
5384,Bodily Force,Male,White,tensed,Property & Vehicle,-93.225678,44.969035
5385,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.271963,44.981655
5386,Bodily Force,Male,Black,fled,Violent,-93.313338,45.014155
5387,Bodily Force,Male,Black,fled,Violent,-93.298199,44.991192
5388,Bodily Force,Male,Black,assaulting police officer or animal,Domestic,-93.260375,44.960916
5389,Chemical Irritant,Male,Black,fled,Property & Vehicle,-93.273116,44.981648
5390,Chemical Irritant,Female,White,tensed,Property & Vehicle,-93.300389,44.914149
5391,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.277025,44.978019
5392,Bodily Force,Male,other,fled,Suspicious & Disorder,-93.251222,44.949215
5393,Less Lethal Weapons,Male,Black,fled,Violent,-93.304422,45.005555
5394,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.306949,45.001202
5395,Chemical Irritant,Male,White,other/unspecified,Violent,-93.274885,44.97606
5396,Bodily Force,Male,Black,commission of crime,Domestic,-93.30258,44.991498
5397,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.222832,44.969758
5398,Chemical Irritant,Male,White,assaulting police officer or animal,Suspicious & Disorder,-93.259645,44.987353
5399,Bodily Force,Male,Black,assaulting police officer or animal,Domestic,-93.274069,44.94226
5400,Bodily Force,Male,Black,tensed,Domestic,-93.29254,45.02759
5401,Bodily Force,Male,Black,assaulting police officer or animal,Domestic,-93.295576,45.008656
5402,Bodily Force,Male,White,assaulting police officer or animal,Domestic,-93.295576,45.008656
5403,Chemical Irritant,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.272499,44.979626
5404,Chemical Irritant,Male,Black,commission of crime,Suspicious & Disorder,-93.272499,44.979626
5405,Less Lethal Weapons,Male,other,commission of crime,Suspicious & Disorder,-93.27663,44.936833
5406,Bodily Force,Male,Black,commission of crime,Violent,-93.272499,44.979626
5407,Bodily Force,Male,Black,fled,Violent,-93.308221,44.993737
5408,Bodily Force,Female,Native American,tensed,Suspicious & Disorder,-93.26311,45.00927
5409,Bodily Force,Female,White,tensed,Domestic,-93.283231,44.964609
5410,Bodily Force,Male,Black,fled,Violent,-93.292435,45.01493
5411,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.298199,44.991192
5412,Guns,Male,Black,other/unspecified,Violent,-93.274247,44.981638
5413,Bodily Force,Male,White,fled,Property & Vehicle,-93.29896,44.94472
5414,Bodily Force,Male,other,fled,Suspicious & Disorder,-93.271927,44.98329
5415,Bodily Force,Female,Black,tensed,Welfare & Emergency,-93.294112,44.996865
5416,Chemical Irritant,Female,Black,verbal non-compliance,Violent,-93.307632,45.020457
5417,Bodily Force,Male,White,assaulting police officer or animal,Suspicious & Disorder,-93.273484,44.948355
5418,Bodily Force,Male,Black,assaulting police officer or animal,Welfare & Emergency,-93.263245,44.943175
5419,Bodily Force,Male,White,assaulting police officer or animal,Suspicious & Disorder,-93.25829,44.980294
5420,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.307583,45.007822
5421,Bodily Force,Male,other,fled,Property & Vehicle,-93.290553,45.017614
5422,Chemical Irritant,Male,Black,commission of crime,Violent,-93.270764,44.980866
5423,Bodily Force,Male,Black,assaulting police officer or animal,Domestic,-93.295576,45.008656
5424,Less Lethal Weapons,Female,White,verbal non-compliance,Welfare & Emergency,-93.252446,44.989811
5425,Chemical Irritant,Male,Black,commission of crime,Suspicious & Disorder,-93.27196,44.980833
5426,Less Lethal Weapons,Male,Black,tensed,Welfare & Emergency,-93.315263,44.991541
5427,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.275347,44.977582
5428,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.299256,44.980557
5429,Chemical Irritant,Male,Black,tensed,Welfare & Emergency,-93.262041,44.948358
5430,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.271954,44.982469
5431,Less Lethal Weapons,Male,Black,tensed,Domestic,-93.249149,45.008401
5432,Chemical Irritant,Male,Black,tensed,Suspicious & Disorder,-93.272499,44.979626
5433,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.263829,44.967167
5434,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.271963,44.981655
5435,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.250899,45.015872
5436,Bodily Force,Male,Black,fled,Property & Vehicle,-93.29307,45.019442
5437,Bodily Force,Male,Black,fled,Property & Vehicle,-93.293145,45.026688
5438,Bodily Force,Male,other,assaulting police officer or animal,Property & Vehicle,-93.272759,44.96332
5439,Bodily Force,Male,White,fled,Property & Vehicle,-93.300016,45.014996
5440,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.272838,44.949212
5441,Bodily Force,Male,White,verbal non-compliance,Welfare & Emergency,-93.288342,44.893312
5442,Bodily Force,Male,White,commission of crime,Property & Vehicle,-93.235929,44.940445
5443,Bodily Force,Male,other,commission of crime,Suspicious & Disorder,-93.243069,44.988564
5444,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.270764,44.980866
5445,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.298199,44.991192
